customer_id,day,rfm_segment,plus_flag,orders,items,nmv,pc1_profit,shipping_profit
11,2025-03-21,RFM_B,0,1,3,572630.5364856864,71873.74813315824,10976.628607651422
52,2025-03-21,RFM_A,0,1,1,600375.2553649071,69693.36612610731,26348.872055647735
59,2025-03-21,RFM_A,0,1,1,414400.46091420576,41349.896683080515,44919.227019766804
186,2025-03-21,RFM_C,0,1,2,568665.8360540696,55770.5181064351,13763.122719794192
264,2025-03-21,RFM_A,0,2,4,1281555.3270533753,152019.48960069875,85505.30387581902
298,2025-03-21,RFM_C,0,1,2,709913.3482482323,51783.950296910254,28398.477746007586
379,2025-03-21,RFM_B,0,1,1,984295.4294480205,96194.35450167923,50571.081558390375
421,2025-03-21,RFM_C,0,1,2,887407.231451326,97756.59086963,49514.16542221216
458,2025-03-21,RFM_B,0,1,2,590451.7738243872,63627.59289340582,38742.560156226275
501,2025-03-21,RFM_C,0,1,2,836158.1618661298,84494.39034078103,34886.973157227214
597,2025-03-21,RFM_C,0,1,3,721040.030689039,100883.69177862328,52679.31818849928
683,2025-03-21,RFM_A,0,1,2,501062.1235253239,67342.38156986446,34262.020905806145
771,2025-03-21,RFM_B,0,1,1,598310.8451695949,48227.85751342282,27993.691790111294
840,2025-03-21,RFM_B,0,1,2,912141.1787830319,127921.29781802342,61647.16579903441
848,2025-03-21,RFM_C,0,1,2,314151.11152870953,30441.89839510135,29914.178052052972
873,2025-03-21,RFM_D,0,1,2,840974.6297472579,59944.65261776238,39309.16285113515
880,2025-03-21,RFM_C,0,1,2,635561.249984951,61979.406346903816,40909.49859957223
908,2025-03-21,RFM_A,0,1,2,860872.4758316233,90241.36384523212,25470.717069698698
923,2025-03-21,RFM_C,0,1,1,642514.2794097235,87329.93288831075,41931.30563939261
1038,2025-03-21,RFM_B,0,1,2,576712.551505599,82929.2189661442,56106.18753727862
1052,2025-03-21,RFM_A,0,1,2,259128.47109229112,31997.30385809054,63017.97273554523
1225,2025-03-21,RFM_A,0,1,3,421861.340975082,50476.852687310864,32709.651508535004
1236,2025-03-21,RFM_A,0,1,3,847382.7719672736,89232.80568758184,49944.536873547695
1289,2025-03-21,RFM_B,0,1,1,743889.1628878509,78751.49648460104,41557.38786954212
1425,2025-03-21,RFM_B,0,1,1,473683.46845385677,40926.5199534518,37547.686761564604
1765,2025-03-21,RFM_A,0,1,1,828587.0016654588,89279.09094935312,29069.11342960052
1814,2025-03-21,RFM_B,0,1,1,974109.3560406835,91991.49214556854,57762.75842765569
1877,2025-03-21,RFM_B,0,1,3,476114.4961899108,59446.011875270786,39283.97823327366
1891,2025-03-21,RFM_B,0,1,2,521143.4636223792,58856.64172727853,22690.39778985208
1941,2025-03-21,RFM_B,0,1,1,490320.3271586907,48563.64315832257,37689.681165720904
1948,2025-03-21,RFM_D,0,1,2,954154.5413298097,119589.4230090352,60518.7910711286
1968,2025-03-21,RFM_C,0,1,2,1083229.6797008757,84861.17892136665,59315.5726843796
1975,2025-03-21,RFM_A,0,1,1,533881.9878008232,62322.25675492434,36671.760856827765
1996,2025-03-21,RFM_C,0,1,2,917238.7243895119,89882.37941794409,49208.064372646884
59,2025-03-22,RFM_A,0,2,4,867932.1855291135,112662.22372038875,108002.79589256571
64,2025-03-22,RFM_C,0,1,1,783604.2894970176,88797.33777711345,20250.602022229068
186,2025-03-22,RFM_C,0,1,2,940188.6539013509,129515.1477795922,48075.84908997373
210,2025-03-22,RFM_B,0,1,1,662568.0749597833,75542.12737844334,27588.869690318592
264,2025-03-22,RFM_A,0,1,2,651702.4335727562,41230.06686095795,26730.73245741632
341,2025-03-22,RFM_A,0,1,1,329211.27643944963,31923.649854135558,43194.67581561475
384,2025-03-22,RFM_B,0,1,2,722449.9010279955,67449.5562240574,40054.06078611221
390,2025-03-22,RFM_D,0,1,1,702724.913242971,72323.48098980292,50312.75308588504
506,2025-03-22,RFM_C,0,1,3,277636.65181424614,28382.923596125725,31092.800354108265
581,2025-03-22,RFM_B,0,1,2,339946.6859976305,33418.55362695718,33931.09474507671
606,2025-03-22,RFM_C,0,2,4,1741318.636198319,204581.1960855806,101172.74335863626
725,2025-03-22,RFM_A,0,1,1,938567.3948997034,99446.0943610352,41864.38895338711
763,2025-03-22,RFM_A,0,1,2,755516.0312023266,46325.533776886754,64184.876365393284
940,2025-03-22,RFM_A,0,1,2,384135.54490106873,35375.18898921276,41489.98278560056
953,2025-03-22,RFM_B,0,1,2,492668.99573376623,61140.55735995726,13075.50001741985
973,2025-03-22,RFM_A,0,1,3,608704.2264938046,76894.30675036037,26781.174634662322
1009,2025-03-22,RFM_C,0,1,2,50000.0,5173.497803109474,23760.773287473683
